Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Week,DayOfWeek,IsHoliday,Rolling_4w,Rolling_12w,Lag_1,Lag_4,Lag_12
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,4,No,,,,,
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,4,Yes,,,1643690.9,,
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,4,No,,,1641957.44,,
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,4,No,1576836.025,,1611968.17,,
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,4,No,1554614.9699999997,,1409727.59,1643690.9,
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,4,No,1504011.0075,,1554806.68,1641957.44,
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,4,No,1469147.9125,,1439541.59,1611968.17,
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,4,No,1467823.495,,1472515.79,1409727.59,
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,4,No,1477863.895,,1404429.92,1554806.68,
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,4,No,1504333.13,,1594968.28,1439541.59,
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,4,No,1502718.7525,,1545418.53,1472515.79,
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,4,No,1499425.3025,1514694.9408333332,1466058.28,1404429.92,
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,4,No,1456958.41,1496479.0916666668,1391256.12,1594968.28,1643690.9
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,4,No,1471592.5575,1493312.2316666667,1425100.71,1545418.53,1641957.44
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,4,No,1478640.8625,1483502.5091666665,1603955.12,1466058.28,1611968.17
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,4,No,1480742.35,1482663.7158333333,1494251.5,1391256.12,1409727.59
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,4,No,1482484.6600000001,1472435.655,1399662.07,1425100.71,1554806.68
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,4,No,1485377.0575,1487100.915,1432069.95,1603955.12,1439541.59
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,4,No,1497454.455,1492938.0233333334,1615524.71,1494251.5,1472515.79
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,4,No,1523359.9525,1501175.8683333334,1542561.09,1399662.07,1404429.92
